"-------------","-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36068","S000000 ","-------------","-------------","-----------",""
"-------------","-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final"
 , , , , , , , , , , , 
"Entity[36068] Report(S000000)", , , , , ,"Entity[36068] Report(S000000[0100])","Entity[36068] Report(S000000[0200])","Entity[36068] Report(S000000[0300])"
"HOSPC","hospc_2013_DATA",36068,"S000000","Line(00100)", ,"1","06/03/2014","N"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"-------------","-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 36068","S100000 ","-------------","-------------","-----------",""
"-------------","-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1"
 , , , , , , , , , , , 
"Entity[36068] Report(S100000)", , , , , ,"Entity[36068] Report(S100000[0100])","Entity[36068] Report(S100000[0200])","Entity[36068] Report(S100000[0300])","Entity[36068] Report(S100000[0400])","Entity[36068] Report(S100000[0500])","Entity[36068] Report(S100000[0600])"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(00100)", ,"GENTIVA HOSPICE","2374 POST ROAD  STE 206","WARWICK","RI","02886-2270"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(00200)", ,"KENT"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(00300)", ,"09/29/2004"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(00400)", ,"09/29/2004","09/29/2004"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(00500)", ,"01/01/2013","12/31/2013"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(00600)", ,"411511"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(00700)", ,"4"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(00800)", , , , , ,"1","1"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(00900)", ,"73201","303","42250","175","3773","77277"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(01000)", ,"244", , , ,"21","265"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(01100)", ,"1360","24", , ,"63","1447"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(01200)", ,"74805","327","42250","175","3858","78990"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(01300)", ,"808","12","464","7","30","850"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(01500)", ,"93","27","91","25","129","93"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(01600)", ,"797","12","464","7","30","839"
"HOSPC","hospc_2013_DATA",36068,"S100000","Line(01700)", ,"1"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
