"Entity[34107] Report(G000000)", , , , , ,"Entity[34107] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34107,"G000000","Line(00100)", ,"10998"
"HOSPC","hospc_2013_DATA",34107,"G000000","Line(01100)", ,"10998"
"HOSPC","hospc_2013_DATA",34107,"G000000","Line(02100)", ,"27998"
"HOSPC","hospc_2013_DATA",34107,"G000000","Line(02200)", ,"5599"
"HOSPC","hospc_2013_DATA",34107,"G000000","Line(02700)", ,"22399"
"HOSPC","hospc_2013_DATA",34107,"G000000","Line(03300)", ,"33397"
"HOSPC","hospc_2013_DATA",34107,"G000000","Line(03400)", ,"148"
"HOSPC","hospc_2013_DATA",34107,"G000000","Line(04200)", ,"148"
"HOSPC","hospc_2013_DATA",34107,"G000000","Line(05000)", ,"148"
"Entity[34107] Report(G100000)", , , , ,"Entity[34107] Report(G100000[0000])"
"HOSPC","hospc_2013_DATA",34107,"G100000","Line(00400)","ADDITIONS (CREDIT ADJUSTMENTS)(SPEC"
"Entity[34107] Report(G200002)", , , , ,"Entity[34107] Report(G200002[0000])", ,"Entity[34107] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34107,"G200002","Line(00200)","DD (SPECIFY)"
"HOSPC","hospc_2013_DATA",34107,"G200002","Line(00900)","EDUCT (SPECIFY)"
"HOSPC","hospc_2013_DATA",34107,"G200002","Line(01500)", , ,"36382"
