"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33966","A000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","CON-","","","RECLAS-","","MENTS","", , , , , 
"-------------","-------------", ,"","","","EMPLOYEE","","TRACTED","","","SIFICATION","","(Increase/","", , , , , 
"-------------","-------------", ,"","","SALARIES","BENEFITS","TRANSPOR-","SERVICES","","","(Increase/","","Decrease)","", , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","(From","(From","TATION","(From","","TOTAL","Decrease)","","(Fr Wkst A-8","TOTAL", , , , , 
"-------------","-------------", ,"","","Wkst A-1)","Wkst A-2)","(See inst.)","Wkst A-3)","OTHER","(col. 1-5)","(Fr Wkst A-6)","SUBTOTAL","& A-8-1)","(col.8�col.9)", , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9","10", , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS",""," "," "," ","","","",""," ","", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"Entity[33966] Report(A000000[0000])","Entity[33966] Report(A000000[0100])","Entity[33966] Report(A000000[0200])","Entity[33966] Report(A000000[0300])","Entity[33966] Report(A000000[0400])","Entity[33966] Report(A000000[0500])","Entity[33966] Report(A000000[0600])","Entity[33966] Report(A000000[0700])","Entity[33966] Report(A000000[0800])","Entity[33966] Report(A000000[0900])","Entity[33966] Report(A000000[1000])", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"16570","16570", ,"16570", ,"16570", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"6410","6410", ,"6410", ,"6410", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"5584","5584", ,"5584", ,"5584", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(00400)","0400TRANSPORTATION-STAFF", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION", , ,"2034", ,"17871","19905", ,"19905", ,"19905", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","124367","16687","4082","49200","257374","451710","-1500","450210","-138552","311658", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(01600)","1600NURSING CARE","147630","19808","7064", , ,"174502","900","175402", ,"175402", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","28312","3796","1992", , ,"34100", ,"34100", ,"34100", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","42968","5767","3457", , ,"52192", ,"52192", ,"52192", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(02200)","2200DIETARY COUNSELING", , , , , , ,"600","600", ,"600", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(02300)","2300COUNSELING-OTHER", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","87401","11724","6283", , ,"105408", ,"105408", ,"105408", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(02500)","2500OTHER VISITING SERVICES", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"60978","60978", ,"60978", ,"60978", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03030)","3030ANALGESICS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03032)","3032OTHER - SPECIFY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"30537","30537", ,"30537", ,"30537", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03300)","3300IMAGING SERVICES", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"2005","2005", ,"2005", ,"2005", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"28426","28426", ,"28426", ,"28426", , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03700)","3700RADIATION THERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03800)","3800CHEMOTHERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33966,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , , , , , , , , , , , , 
