"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34038","D000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","", , , , , , , , , , , 
"-------------","-------------", ,"COMPUTATION OF PER DIEM COST","","TITLE XVIII","TITLE XIX","OTHER","TOTAL", , , , , , , , , , , 
"-------------","-------------", ,"","","-1","-2","-3","-4", , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34038] Report(D000000[0100])","Entity[34038] Report(D000000[0200])","Entity[34038] Report(D000000[0300])","Entity[34038] Report(D000000[0400])", , , , , , , , , , , 
"hospc_2013_DATA",34038,"D000000","Line(00100)", , , , ,"1551194", , , , , , , , , , , 
"hospc_2013_DATA",34038,"D000000","Line(00200)", , , , ,"9754", , , , , , , , , , , 
"hospc_2013_DATA",34038,"D000000","Line(00300)", , , , ,"159", , , , , , , , , , , 
"hospc_2013_DATA",34038,"D000000","Line(00400)", ,"8230", , , , , , , , , , , , , , 
"hospc_2013_DATA",34038,"D000000","Line(00500)", ,"1308817", , , , , , , , , , , , , , 
"hospc_2013_DATA",34038,"D000000","Line(00600)", , ,"772", , , , , , , , , , , , , 
"hospc_2013_DATA",34038,"D000000","Line(00700)", , ,"122771", , , , , , , , , , , , , 
"hospc_2013_DATA",34038,"D000000","Line(01200)", , , ,"752", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
