"Entity[34057] Report(G000000)", , , , , ,"Entity[34057] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(00100)", ,"33786"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(00400)", ,"126959"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(00500)", ,"6660"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(01100)", ,"167405"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(03100)", ,"3820535"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(03200)", ,"3820535"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(03300)", ,"3987940"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(03400)", ,"34358"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(03500)", ,"171476"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(03600)", ,"17029"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(04100)", ,"348000"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(04200)", ,"570863"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(04620)", ,"335364"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(04900)", ,"335364"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(05000)", ,"906227"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(05100)", ,"3081713"
"HOSPC","hospc_2013_DATA",34057,"G000000","Line(05800)", ,"3081713"
"Entity[34057] Report(G100000)", , , , , ,"Entity[34057] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34057,"G100000","Line(00100)", ,"3671705"
"HOSPC","hospc_2013_DATA",34057,"G100000","Line(00200)", ,"-589992"
"HOSPC","hospc_2013_DATA",34057,"G100000","Line(00300)", ,"3081713"
"HOSPC","hospc_2013_DATA",34057,"G100000","Line(01100)", ,"3081713"
"Entity[34057] Report(G200001)", , , , , ,"Entity[34057] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34057,"G200001","Line(00100)", ,"107671"
"HOSPC","hospc_2013_DATA",34057,"G200001","Line(00300)", ,"119937"
"HOSPC","hospc_2013_DATA",34057,"G200001","Line(00500)", ,"83591"
"Entity[34057] Report(G200002)", , , , ,"Entity[34057] Report(G200002[0000])","Entity[34057] Report(G200002[0100])","Entity[34057] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34057,"G200002","Line(00100)", , ,"452291"
"HOSPC","hospc_2013_DATA",34057,"G200002","Line(00200)","ADD (SPECIFY) ROUNDING","2"
"HOSPC","hospc_2013_DATA",34057,"G200002","Line(00700)","LOSS FROM OTHER PROVIDER #S","448898"
"HOSPC","hospc_2013_DATA",34057,"G200002","Line(00800)", , ,"448900"
"HOSPC","hospc_2013_DATA",34057,"G200002","Line(01301)","MEDICAID ROOM AND BOARD","83591"
"HOSPC","hospc_2013_DATA",34057,"G200002","Line(01400)", , ,"83591"
"HOSPC","hospc_2013_DATA",34057,"G200002","Line(01500)", , ,"817600"
