"Entity[34097] Report(G000000)", , , , , ,"Entity[34097] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(00100)", ,"33786"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(00400)", ,"126959"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(00500)", ,"6660"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(01100)", ,"167405"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(03100)", ,"3820535"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(03200)", ,"3820535"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(03300)", ,"3987940"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(03400)", ,"34358"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(03500)", ,"171476"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(03600)", ,"17029"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(04100)", ,"348000"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(04200)", ,"570863"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(04620)", ,"335364"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(04900)", ,"335364"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(05000)", ,"906227"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(05100)", ,"3081713"
"HOSPC","hospc_2013_DATA",34097,"G000000","Line(05800)", ,"3081713"
"Entity[34097] Report(G100000)", , , , , ,"Entity[34097] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34097,"G100000","Line(00100)", ,"3671705"
"HOSPC","hospc_2013_DATA",34097,"G100000","Line(00200)", ,"-589992"
"HOSPC","hospc_2013_DATA",34097,"G100000","Line(00300)", ,"3081713"
"HOSPC","hospc_2013_DATA",34097,"G100000","Line(01100)", ,"3081713"
"Entity[34097] Report(G200001)", , , , , ,"Entity[34097] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34097,"G200001","Line(00100)", ,"83478"
"HOSPC","hospc_2013_DATA",34097,"G200001","Line(00300)", ,"506237"
"HOSPC","hospc_2013_DATA",34097,"G200001","Line(00400)", ,"2033"
"HOSPC","hospc_2013_DATA",34097,"G200001","Line(00500)", ,"20611"
"Entity[34097] Report(G200002)", , , , ,"Entity[34097] Report(G200002[0000])","Entity[34097] Report(G200002[0100])","Entity[34097] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34097,"G200002","Line(00100)", , ,"778299"
"HOSPC","hospc_2013_DATA",34097,"G200002","Line(00200)","ADD (SPECIFY) ROUNDING","2"
"HOSPC","hospc_2013_DATA",34097,"G200002","Line(00700)","LOSS FROM OTHER PROVIDER #S","424280"
"HOSPC","hospc_2013_DATA",34097,"G200002","Line(00800)", , ,"424282"
"HOSPC","hospc_2013_DATA",34097,"G200002","Line(01000)","COMMUNITY SUPPORT","230"
"HOSPC","hospc_2013_DATA",34097,"G200002","Line(01301)","MEDICAID ROOM AND BOARD","20611"
"HOSPC","hospc_2013_DATA",34097,"G200002","Line(01400)", , ,"20841"
"HOSPC","hospc_2013_DATA",34097,"G200002","Line(01500)", , ,"1181740"
